time,value,readout,run,experiment,value_post_inhib_scaled
975,0.312197802,iSH2,1,1,0.312197802
990,0.288241758,iSH2,1,1,0.288241758
1005,0.327362637,iSH2,1,1,0.327362637
1020,0.314725275,iSH2,1,1,0.314725275
1035,0.338351648,iSH2,1,1,0.338351648
1050,0.381318681,iSH2,1,1,0.381318681
1065,0.339230769,iSH2,1,1,0.339230769
1080,0.369230769,iSH2,1,1,0.369230769
1095,0.375494505,iSH2,1,1,0.375494505
1110,0.392307692,iSH2,1,1,0.392307692
1125,0.351208791,iSH2,1,1,0.351208791
1140,0.381538462,iSH2,1,1,0.381538462
1155,0.366153846,iSH2,1,1,0.366153846
1170,0.388791209,iSH2,1,1,0.388791209
1185,0.374175824,iSH2,1,1,0.374175824
1200,0.411318681,iSH2,1,1,0.411318681
1215,0.393076923,iSH2,1,1,0.393076923
1230,0.404615385,iSH2,1,1,0.404615385
1245,0.383406593,iSH2,1,1,0.383406593
1260,0.407912088,iSH2,1,1,0.407912088
1275,0.407252747,iSH2,1,1,0.407252747
1290,0.408351648,iSH2,1,1,0.408351648
1305,0.392087912,iSH2,1,1,0.392087912
1320,0.422197802,iSH2,1,1,0.422197802
1335,0.41021978,iSH2,1,1,0.41021978
1350,0.416263736,iSH2,1,1,0.416263736
1365,0.461978022,iSH2,1,1,0.461978022
1380,0.440659341,iSH2,1,1,0.440659341
1395,0.477032967,iSH2,1,1,0.477032967
1410,0.472197802,iSH2,1,1,0.472197802
1425,0.441868132,iSH2,1,1,0.441868132
1440,0.470879121,iSH2,1,1,0.470879121
1455,0.465604396,iSH2,1,1,0.465604396
1470,0.489010989,iSH2,1,1,0.489010989
1485,0.47967033,iSH2,1,1,0.47967033
1500,0.512197802,iSH2,1,1,0.512197802
1515,0.562637363,iSH2,1,1,0.562637363
1530,0.515494505,iSH2,1,1,0.515494505
1545,0.550549451,iSH2,1,1,0.550549451
1560,0.492417582,iSH2,1,1,0.492417582
1575,0.527802198,iSH2,1,1,0.527802198
1590,0.457692308,iSH2,1,1,0.457692308
1605,0.513076923,iSH2,1,1,0.513076923
1620,0.477692308,iSH2,1,1,0.477692308
1635,0.537142857,iSH2,1,1,0.537142857
1650,0.546703297,iSH2,1,1,0.546703297
1665,0.532417582,iSH2,1,1,0.532417582
1680,0.468901099,iSH2,1,1,0.468901099
1695,0.525934066,iSH2,1,1,0.525934066
1710,0.54010989,iSH2,1,1,0.54010989
1725,0.544615385,iSH2,1,1,0.544615385
1740,0.487582418,iSH2,1,1,0.487582418
1755,0.49978022,iSH2,1,1,0.49978022
