"","time","iSH2_1_10","PH_1_10","iSH2_1_2","PH_1_2","iSH2_1_3","PH_1_3","iSH2_1_5","PH_1_5","iSH2_1_6","PH_1_6","iSH2_1_7","PH_1_7","iSH2_1_9","PH_1_9","iSH2_2_1","PH_2_1","iSH2_2_2","PH_2_2","iSH2_2_4","PH_2_4","iSH2_2_5","PH_2_5","iSH2_2_6","PH_2_6","iSH2_2_7","PH_2_7","iSH2_2_8","PH_2_8","iSH2_3_5","PH_3_5","iSH2_3_7","PH_3_7","iSH2_3_8","PH_3_8"
"34",510,1.0295,1.9591,1.037,1.7295,0.783,1.9512,1.0505,2.001,0.8561,1.6851,1.0907,1.3362,1.2049,2.199,0.8674,1.411,0.7939,1.4563,0.9659,1.4874,0.8152,1.4783,0.7695,1.2501,0.8851,1.4237,0.9429,1.7151,0.9075,1.9382,1.0643,1.5261,1.0297,2.2379
"35",525,0.9824,1.979,1.0362,1.7628,0.7641,1.9907,1.1014,2.0192,0.748,1.7698,1.0148,1.3641,1.1538,2.1025,0.7181,1.507,0.7876,1.4713,0.9968,1.4798,0.8458,1.545,0.7621,1.2841,0.8689,1.427,0.9646,1.6291,0.9067,1.9101,1.0822,1.5274,1.0027,2.1804
"36",540,1.0324,1.9021,1.0645,1.7822,0.8136,2.0432,1.0474,1.888,0.753,1.7403,1.0572,1.3106,1.1496,2.1091,0.9018,1.2626,0.7784,1.4462,1.039,1.5395,0.8106,1.495,0.768,1.2528,0.8816,1.4798,0.9023,1.6572,0.8919,1.8878,1.1097,1.5864,1.0005,2.2726
"37",555,0.9737,1.9538,1.0793,1.8093,0.7227,1.9171,1.0859,2.0184,0.7909,1.6434,1.0369,1.3686,1.0702,2.1032,0.6963,1.5511,0.7669,1.4765,1.0181,1.5423,0.8193,1.5416,0.7831,1.2653,0.8926,1.4321,0.9618,1.7208,0.9136,1.8446,1.118,1.5702,1.0462,2.2078
"38",570,0.9873,1.843,1.0965,1.8252,0.7758,1.9654,1.0057,1.9152,0.8223,1.761,1.0035,1.3404,1.1906,2.0229,0.9333,1.33,0.7944,1.4412,0.9634,1.4857,0.792,1.506,0.7575,1.2604,0.8548,1.4231,0.9799,1.6815,0.9053,1.8766,1.0616,1.5401,1.0394,2.2421
"39",585,1.021,1.8479,1.0585,1.7141,0.7794,1.915,1.0783,1.9059,0.8228,1.6977,1.107,1.2916,1.1595,2.0738,0.6626,1.7169,0.7924,1.4439,1.0036,1.538,0.8375,1.5485,0.7946,1.3032,0.8848,1.4849,0.9292,1.6601,0.9155,1.8893,1.1007,1.5715,1.0418,2.2471
"40",600,1.079,1.781,1.1278,1.7182,0.7778,1.9438,0.9907,1.808,0.826,1.6944,1.08,1.3492,1.1766,2.0319,0.6547,1.8552,0.7597,1.4305,0.9985,1.4804,0.8338,1.5166,0.8154,1.3426,0.8564,1.4575,0.9629,1.6019,0.97,1.7947,1.1394,1.6192,1.0955,2.2335
"41",615,1.0537,1.7792,1.0477,1.7246,0.8331,1.7998,1.0575,1.854,0.819,1.6412,1.0846,1.332,1.1623,2.0466,0.6846,1.4103,0.7717,1.4474,0.9934,1.4882,0.8419,1.5121,0.7845,1.2657,0.8717,1.417,0.9253,1.7248,0.9675,1.8038,1.0954,1.5457,1.075,2.2354
"42",630,1.079,1.752,1.0718,1.6793,0.779,1.8625,1.1022,1.7988,0.8883,1.7903,1.0303,1.3147,1.1757,1.9006,0.7376,1.401,0.7709,1.4495,1.0298,1.4979,0.8418,1.5657,0.7864,1.2941,0.8564,1.403,0.9975,1.7293,0.9823,1.8105,1.0903,1.5745,1.0784,2.227
"43",645,1.0631,1.7926,1.0683,1.6448,0.8549,1.83,1.0603,1.8889,0.8939,1.7214,1.111,1.302,1.2641,1.9698,0.6607,1.5782,0.7955,1.4928,1.02,1.5212,0.8347,1.5438,0.7892,1.2986,0.8492,1.3931,0.9905,1.6869,0.9039,1.7756,1.156,1.6057,1.0441,2.161
