time,value,readout,run,experiment,value_raw,value_post_inhib_scaled
2025,1.113001837,PH,2,1,1.7405,1.113001837
2040,1.024836001,PH,2,1,1.6733,1.024836001
2055,1.093846759,PH,2,1,1.7259,1.093846759
2070,0.879598531,PH,2,1,1.5626,0.879598531
2085,0.987837838,PH,2,1,1.6451,0.987837838
2100,0.46868276,PH,2,1,1.2494,0.46868276
2115,1.233836263,PH,2,1,1.8326,1.233836263
2130,1.119955392,PH,2,1,1.7458,1.119955392
2145,1.098569929,PH,2,1,1.7295,1.098569929
2160,1.14225925,PH,2,1,1.7628,1.14225925
2175,1.167711887,PH,2,1,1.7822,1.167711887
2190,1.203266859,PH,2,1,1.8093,1.203266859
2205,1.224127526,PH,2,1,1.8252,1.224127526
2220,1.078365258,PH,2,1,1.7141,1.078365258
2235,1.083744424,PH,2,1,1.7182,1.083744424
2250,1.09214117,PH,2,1,1.7246,1.09214117
2265,1.032707951,PH,2,1,1.6793,1.032707951
2280,0.98744424,PH,2,1,1.6448,0.98744424
2295,0.937063763,PH,2,1,1.6064,0.937063763
2310,1.030346366,PH,2,1,1.6775,1.030346366
2325,0.977866702,PH,2,1,1.6375,0.977866702
2340,1.018013645,PH,2,1,1.6681,1.018013645
2355,0.983770664,PH,2,1,1.642,0.983770664
2370,1.065376542,PH,2,1,1.7042,1.065376542
2385,0.875924954,PH,2,1,1.5598,0.875924954
2400,0.988625033,PH,2,1,1.6457,0.988625033
2415,0.952545264,PH,2,1,1.6182,0.952545264
2430,0.988756232,PH,2,1,1.6458,0.988756232
2445,0.899409604,PH,2,1,1.5777,0.899409604
2460,0.906756757,PH,2,1,1.5833,0.906756757
2475,0.868971399,PH,2,1,1.5545,0.868971399
2490,0.906100761,PH,2,1,1.5828,0.906100761
2505,0.881828916,PH,2,1,1.5643,0.881828916
2520,0.938638153,PH,2,1,1.6076,0.938638153
2535,0.902427184,PH,2,1,1.58,0.902427184
2550,0.964353188,PH,2,1,1.6272,0.964353188
2565,0.849685122,PH,2,1,1.5398,0.849685122
2580,0.988887431,PH,2,1,1.6459,0.988887431
2595,0.862805038,PH,2,1,1.5498,0.862805038
2610,0.847323537,PH,2,1,1.538,0.847323537
2625,0.826987667,PH,2,1,1.5225,0.826987667
2640,0.847061139,PH,2,1,1.5378,0.847061139
2655,0.885108895,PH,2,1,1.5668,0.885108895
2670,0.809144581,PH,2,1,1.5089,0.809144581
2685,0.779362372,PH,2,1,1.4862,0.779362372
2700,0.901771189,PH,2,1,1.5795,0.901771189
2715,0.831710837,PH,2,1,1.5261,0.831710837
2730,0.787759118,PH,2,1,1.4926,0.787759118
2745,0.687785358,PH,2,1,1.4164,0.687785358
2760,0.789595907,PH,2,1,1.494,0.789595907
2775,0.687785358,PH,2,1,1.4164,0.687785358
2790,0.691590134,PH,2,1,1.4193,0.691590134
2805,0.706022041,PH,2,1,1.4303,0.706022041
2820,0.713893991,PH,2,1,1.4363,0.713893991
2835,0.756927316,PH,2,1,1.4691,0.756927316
2850,0.70930202,PH,2,1,1.4328,0.70930202
1650,0.47491521,iSH2,3,1,1.2689,0.47491521
1665,0.521093164,iSH2,3,1,1.3371,0.521093164
1680,0.553390648,iSH2,3,1,1.3848,0.553390648
1695,0.600787376,iSH2,3,1,1.4548,0.600787376
1710,0.516014943,iSH2,3,1,1.3296,0.516014943
1725,0.540051855,iSH2,3,1,1.3651,0.540051855
1740,0.543437336,iSH2,3,1,1.3701,0.543437336
1755,0.538494534,iSH2,3,1,1.3628,0.538494534
1770,0.584130812,iSH2,3,1,1.4302,0.584130812
1785,0.535583021,iSH2,3,1,1.3585,0.535583021
1800,0.664772958,iSH2,3,1,1.5493,0.664772958
1815,0.691585964,iSH2,3,1,1.5889,0.691585964
1830,0.646355944,iSH2,3,1,1.5221,0.646355944
1845,0.544182141,iSH2,3,1,1.3712,0.544182141
1860,0.637756823,iSH2,3,1,1.5094,0.637756823
1875,0.556979258,iSH2,3,1,1.3901,0.556979258
1890,0.608980239,iSH2,3,1,1.4669,0.608980239
1905,0.5636148,iSH2,3,1,1.3999,0.5636148
1920,0.587313163,iSH2,3,1,1.4349,0.587313163
1935,0.555286518,iSH2,3,1,1.3876,0.555286518
1950,0.516353491,iSH2,3,1,1.3301,0.516353491
1965,0.54262482,iSH2,3,1,1.3689,0.54262482
1980,0.572891016,iSH2,3,1,1.4136,0.572891016
1995,0.554609421,iSH2,3,1,1.3866,0.554609421
2010,0.509514821,iSH2,3,1,1.32,0.509514821
2025,0.531249606,iSH2,3,1,1.3521,0.531249606
2040,0.557859483,iSH2,3,1,1.3914,0.557859483
2055,0.500035475,iSH2,3,1,1.306,0.500035475
2070,0.491165516,iSH2,3,1,1.2929,0.491165516
2085,0.483108072,iSH2,3,1,1.281,0.483108072
2100,0.375246663,iSH2,3,1,1.1217,0.375246663
2115,-0.133163257,iSH2,3,1,0.8,-0.133163257
2130,-0.192269664,iSH2,3,1,0.7626,-0.192269664
2145,-0.160029806,iSH2,3,1,0.783,-0.160029806
2160,-0.189899086,iSH2,3,1,0.7641,-0.189899086
2175,-0.111670018,iSH2,3,1,0.8136,-0.111670018
2190,-0.255327033,iSH2,3,1,0.7227,-0.255327033
2205,-0.171408579,iSH2,3,1,0.7758,-0.171408579
2220,-0.165719192,iSH2,3,1,0.7794,-0.165719192
2235,-0.168247809,iSH2,3,1,0.7778,-0.168247809
2250,-0.080852507,iSH2,3,1,0.8331,-0.080852507
2265,-0.166351346,iSH2,3,1,0.779,-0.166351346
2280,-0.04640011,iSH2,3,1,0.8549,-0.04640011
2295,-0.117517444,iSH2,3,1,0.8099,-0.117517444
2310,-0.120836253,iSH2,3,1,0.8078,-0.120836253
2325,-0.169828194,iSH2,3,1,0.7768,-0.169828194
2340,-0.017637099,iSH2,3,1,0.8731,-0.017637099
2355,-0.044503647,iSH2,3,1,0.8561,-0.044503647
2370,-0.252324302,iSH2,3,1,0.7246,-0.252324302
2385,-0.101397515,iSH2,3,1,0.8201,-0.101397515
2400,-0.088596394,iSH2,3,1,0.8282,-0.088596394
2415,-0.16382273,iSH2,3,1,0.7806,-0.16382273
2430,-0.192269664,iSH2,3,1,0.7626,-0.192269664
2445,-0.093653627,iSH2,3,1,0.825,-0.093653627
2460,-0.040552684,iSH2,3,1,0.8586,-0.040552684
2475,-0.100765361,iSH2,3,1,0.8205,-0.100765361
2490,-0.069473734,iSH2,3,1,0.8403,-0.069473734
2505,-0.12747387,iSH2,3,1,0.8036,-0.12747387
2520,-0.072950581,iSH2,3,1,0.8381,-0.072950581
2535,-0.093653627,iSH2,3,1,0.825,-0.093653627
2550,-0.063626308,iSH2,3,1,0.844,-0.063626308
2565,-0.050983227,iSH2,3,1,0.852,-0.050983227
2580,-0.087806202,iSH2,3,1,0.8287,-0.087806202
2595,-0.062045923,iSH2,3,1,0.845,-0.062045923
2610,-0.065996886,iSH2,3,1,0.8425,-0.065996886
2625,-0.09871086,iSH2,3,1,0.8218,-0.09871086
2640,0.023610955,iSH2,3,1,0.8992,0.023610955
2655,-0.103926131,iSH2,3,1,0.8185,-0.103926131
2670,-0.153076111,iSH2,3,1,0.7874,-0.153076111
2685,-0.038972299,iSH2,3,1,0.8596,-0.038972299
2700,-0.020007677,iSH2,3,1,0.8716,-0.020007677
2715,-0.002939516,iSH2,3,1,0.8824,-0.002939516
2730,-0.064100424,iSH2,3,1,0.8437,-0.064100424
2745,-0.016056714,iSH2,3,1,0.8741,-0.016056714
2760,-0.122100561,iSH2,3,1,0.807,-0.122100561
2775,0.054744543,iSH2,3,1,0.9189,0.054744543
2790,0.085562055,iSH2,3,1,0.9384,0.085562055
2805,-0.025539025,iSH2,3,1,0.8681,-0.025539025
2820,0.030406611,iSH2,3,1,0.9035,0.030406611
2835,0.006542795,iSH2,3,1,0.8884,0.006542795
2850,0.053480235,iSH2,3,1,0.9181,0.053480235
1650,0.793531881,PH,3,1,1.497,0.793531881
1665,0.823838887,PH,3,1,1.5201,0.823838887
1680,0.807963789,PH,3,1,1.508,0.807963789
1695,0.818984518,PH,3,1,1.5164,0.818984518
1710,0.780411965,PH,3,1,1.487,0.780411965
1725,0.737772238,PH,3,1,1.4545,0.737772238
1740,0.728850695,PH,3,1,1.4477,0.728850695
