Count,Experiment,Run,Data,Sim,Best
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.109157701390711570e-01,3.616291713203267366e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.025190238782472840e-01,3.639501271972220287e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.065861978483337191e-01,3.662522797874457336e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.611912883757543713e-01,3.685361146434304458e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.836263447913934588e-01,3.708019423088410593e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.647336657045393560e-01,3.730504982447142015e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.016006297559694960e-01,3.752822877377930966e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.555497244817633629e-01,3.774979675897774389e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.288900551036474718e-01,3.796983419399020954e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.446601941747573505e-01,3.818839188969900267e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.963526633429544921e-01,3.840550650940752209e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.060614012070322687e-01,3.862121209903645602e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.778535817370767824e-01,3.883550413192632389e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.341380215166624201e-01,3.904838097055738366e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.122277617423247276e-01,3.925991589139300464e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.834951456310678464e-01,3.947013077402330983e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.267908685384413925e-01,3.967905879250889223e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.382051954867488552e-01,3.988676230619092600e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.368932038834952292e-01,4.009325912220315646e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.577538703752297433e-01,4.029858379371087373e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.266596693781160576e-01,4.050276080228673581e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.061926003673576591e-01,4.070580032051884789e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.724481763316714655e-01,4.090771312719646557e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.425347677774862931e-01,4.110852343694031963e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.715297822093939550e-01,4.130823849380803048e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.372868013644713447e-01,4.150688349761224583e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.093151403831015500e-01,4.170448161019341127e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.284702177906061005e-01,4.190104476110903531e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.943584361060088250e-01,4.209659866141184925e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.527420624508001534e-01,4.229115432366604699e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.856992915245342268e-01,4.248472303070625622e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.087903437418000996e-01,4.267731624143785707e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.582786670165311937e-01,4.286894284089394769e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.846496982419313260e-01,4.305960975562657667e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.290212542639728066e-01,4.324933069223830806e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.216478614536868008e-01,4.343811474346290780e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.893728680136448794e-01,4.362597212827073467e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.901600629755969996e-01,4.381291596186498993e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.656258199947518883e-01,4.399895198022914511e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.060351613749672905e-01,4.418408977866817855e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.091839412227762152e-01,4.436833590854435960e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.196798740488061119e-01,4.455169506278910951e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.519811073209130670e-01,4.473417291086447256e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.681186040409340277e-01,4.491577569812635340e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.005247966413015615e-01,4.509650819444397940e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.538178955654683655e-01,4.527637708127529859e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.912096562581999004e-01,4.545538865790762495e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.279454211493046500e-01,4.563354706567026575e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.069535554972447455e-01,4.581085834801159606e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.321437942797166976e-01,4.598732582223237775e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.041983731304119365e-01,4.616295293905909869e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.915770139071109268e-01,4.633774344769468478e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.627131986355287108e-01,4.651170014181234547e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.843872999212806008e-01,4.668482613443803442e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.689057990028864809e-01,4.685712525025776953e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.344004198373131453e-01,4.702860071692893107e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.018367882445551320e-01,4.719925550512052981e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.110207294673314582e-01,4.736909314610665556e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.080031487798479795e-01,4.753811578663036386e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.471267383888744562e-01,4.770632601659653416e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.862240881658356773e-01,4.787372604149248700e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.708475465757018030e-01,4.804031749303376286e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.057465232222515317e-01,4.820610259753586035e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.166622933613225221e-01,4.837108337232065569e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.490947257937548676e-01,4.853526179825231046e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.452637103122540685e-01,4.869864011378362556e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.303070060351613435e-01,4.886122047685590997e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.087903437418000996e-01,4.902300449814889771e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.531356599317766021e-01,4.918399415752620074e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.662555759643139730e-01,4.934419089683124704e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.392023091052216888e-01,4.934419089683124704e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.054785273589219585e-01,3.881544061131304013e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.822545767273033079e-01,3.055781832738022619e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.526109497390105985e-01,2.407582469988279184e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.219833574142034804e-02,1.898330469842142154e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.796584272477355984e-02,1.497938154627144469e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.417260417271421102e-02,1.182886343920866307e-01,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.363133233159287999e-02,9.348027444526574303e-02,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.035568520554619620e-02,7.392950702090070325e-02,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.507616912931982300e-02,5.851033261005680886e-02,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.191141953547249221e-02,4.634089470643453640e-02,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.955709767736283577e-02,3.672888000585792373e-02,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.955709767736283577e-02,2.913105143182901161e-02,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.113059231862085940e-02,2.312119293746705412e-02,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.876147020106827934e-02,1.836387988999428969e-02,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.428942180869088752e-02,1.459541055247678097e-02,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.336809654075373527e-02,1.160814258496901605e-02,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.217761537820030215e-02,9.238469268456794142e-03,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-8.620972149982900415e-03,7.357419181895289220e-03,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.336217643697659913e-02,5.863214165453625032e-03,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.928498173085806316e-02,4.675497819849029624e-03,1.691927442244423901e+03
